ARRASTO,LOCAL,ESPECIE,N° DE INDIVIDUOS,CT (cm),PESO (g),PONTO
ARE,P1,Hyp.ame,1.0,71.0,"704,27",1
ARE,P1,Gym.mic,1.0,"40,0","1914,40",1
ARE,P1,Chl.chr,1.0,12.3,15.68,1
ARE,P1,Chl.chr,2.0,10.7,10.65,1
ARE,P1,Chl.chr,3.0,13.7,18.07,1
ARE,P1,Chl.chr,4.0,12.1,14.95,1
ARE,P1,Chl.chr,5.0,12.4,11.85,1
ARE,P1,Chl.chr,6.0,11.5,14.65,1
ARE,P1,Con.nob,1.0,8.2,6.22,1
ARE,P1,Con.nob,2.0,7.0,4.04,1
ARE,P1,Ste.ras,1.0,9.5,8.66,1
ARE,P1,Ste.ras,2.0,10.6,11.26,1
ARE,P1,Ste.ras,3.0,10.0,9.28,1
ARE,P1,Ste.ras,4.0,9.8,9.5,1
ARE,P1,Ste.ras,5.0,9.2,7.33,1
ARE,P1,Ste.ras,6.0,10.1,10.09,1
ARE,P1,Ste.ras,7.0,10.3,8.85,1
ARE,P1,Sph.tes,1.0,19.3,154.54,1
ARE,P1,Dia.aur,1.0,13.2,30.83,1
ARE,P1,Dia.aur,2.0,15.6,53.42,1
ARE,P1,Lar.bre,1.0,10.3,11.67,1
ARE,P1,Lar.bre,2.0,11.5,16.05,1
ARE,P1,Lar.bre,3.0,9.2,7.81,1
ARE,P1,Lar.bre,4.0,11.0,14.31,1
ARE,P1,Lar.bre,5.0,10.0,10.82,1
ARE,P1,Ort.rub,1.0,10.5,14.4,1
ARE,P1,Ort.rub,2.0,11.0,17.44,1
ARE,P1,Cha.fab,1.0,6.6,7.96,1
ARE,P1,Ach.lin,1.0,10.1,19.25,1
ARE,P1,Lut.syn,1.0,18.8,93.28,1
ARE,P1,Hae.cor,1.0,11.4,17.17,1
ARE,P1,Hae.cor,2.0,11.8,20.5,1
ARE,P1,Hae.cor,3.0,10.3,13.93,1
ARE,P1,Hae.cor,4.0,9.2,9.41,1
ARE,P1,Hae.cor,5.0,10.0,12.48,1
ARE,P1,Hae.cor,6.0,9.6,11.75,1
ARE,P1,Hae.cor,7.0,7.7,5.43,1
ARE,P1,Hae.cor,8.0,12.0,22.91,1
ARE,P1,Hae.cor,9.0,8.2,6.22,1
ARE,P1,Hae.cor,10.0,10.1,11.59,1
ARE,P1,Hae.cor,11.0,9.0,8.17,1
ARE,P1,Hae.cor,12.0,6.1,2.38,1
ARE,P1,Hae.cor,13.0,7.8,5.08,1
ARE,P1,Hae.cor,14.0,8.7,7.74,1
ARE,P1,Hae.cor,15.0,7.5,5.4,1
ARE,P1,Hae.cor,16.0,7.5,5.04,1
ARE,P1,Hae.cor,17.0,8.5,7.91,1
ARE,P1,Hae.cor,18.0,9.0,8.58,1
ARE,P1,Hae.cor,19.0,8.4,9.03,1
ARE,P1,Hae.cor,20.0,7.0,3.8,1
ARE,P1,Hae.cor,21.0,7.3,4.47,1
ARE,P1,Hae.cor,22.0,10.0,12.51,1
ARE,P1,Euc.gul,1.0,7.7,4.87,1
ARE,P1,Euc.gul,2.0,7.5,4.28,1
ARE,P1,Euc.gul,3.0,10.0,11.47,1
ARE,P1,Euc.gul,4.0,8.6,5.68,1
ARE,P1,Euc.gul,5.0,10.6,11.73,1
ARE,P1,Euc.gul,6.0,8.8,5.37,1
ARE,P1,Euc.gul,7.0,8.4,5.73,1
ARE,P1,Euc.gul,8.0,10.3,13.47,1
ARE,P1,Euc.gul,9.0,8.1,4.92,1
ARE,P1,Euc.gul,10.0,9.1,8.27,1
ARE,P1,Euc.gul,11.0,8.3,4.87,1
ARE,P1,Euc.gul,12.0,8.1,5.66,1
ARE,P1,Euc.gul,13.0,10.7,13.87,1
ARE,P1,Euc.gul,14.0,8.1,5.25,1
ARE,P1,Euc.gul,15.0,8.4,5.4,1
ARE,P1,Euc.gul,16.0,8.6,7.01,1
ARE,P1,Euc.gul,17.0,8.7,4.94,1
ARE,P1,Euc.gul,18.0,7.6,4.34,1
ARE,P1,Euc.gul,19.0,7.3,4.01,1
ARE,P1,Euc.gul,20.0,7.3,4.0,1
ARE,P1,Euc.gul,21.0,8.9,7.33,1
ARE,P1,Euc.gul,22.0,7.5,4.22,1
ARE,P1,Euc.gul,23.0,8.0,6.28,1
ARE,P1,Euc.gul,24.0,7.8,5.52,1
ARE,P1,Euc.gul,25.0,7.6,4.66,1
ARE,P1,Euc.gul,26.0,7.4,4.65,1
ARE,P1,Euc.gul,27.0,9.0,7.16,1
ARE,P1,Euc.gul,28.0,7.4,4.24,1
ARE,P1,Men.ame,1.0,9.4,7.21,1
ARE,P2,Opi. ogl,1,10.2,7.6,2
ARE,P2,Opi. ogl,2,9.5,6.4,2
ARE,P2,Opi. ogl,3,9.1,5.02,2
ARE,P2,Opi. ogl,4,7.8,3.72,2
ARE,P2,Opi. ogl,5,7.4,3.5,2
ARE,P2,Opi. ogl,6,11.6,12.25,2
ARE,P2,Opi. ogl,7,10.4,7.24,2
ARE,P2,Opi. ogl,8,10.8,8.97,2
ARE,P2,Opi. ogl,9,11.6,13.18,2
ARE,P2,Opi. ogl,10,10.9,8.24,2
ARE,P2,Opi. ogl,11,12.3,11.73,2
ARE,P2,Opi. ogl,12,11.0,9.24,2
ARE,P2,Chl. chr,1.0,11.8,13.01,2
ARE,P2,Chl. chr,2.0,12.0,16.53,2
ARE,P2,Chl. chr,3.0,13.4,20.64,2
ARE,P2,Chl. chr,4.0,11.5,14.98,2
ARE,P2,Chl. chr,5.0,12.3,12.25,2
ARE,P2,Chl. chr,6.0,12.5,15.54,2
ARE,P2,Chl. chr,7.0,12.1,15.32,2
ARE,P2,Chl. chr,8.0,12.6,14.54,2
ARE,P2,Chl. chr,9.0,12.4,12.2,2
ARE,P2,Chl. chr,10.0,11.4,11.74,2
ARE,P2,Chl. chr,11.0,11.1,11.56,2
ARE,P2,Chl. chr,12.0,11.5,11.87,2
ARE,P2,Chl. chr,13.0,10.7,9.69,2
ARE,P2,Chl. chr,14.0,12.7,16.12,2
ARE,P2,Chl. chr,15.0,11.3,10.43,2
ARE,P2,Chl. chr,16.0,11.2,12.57,2
ARE,P2,Chl. chr,17.0,11.7,12.15,2
ARE,P2,Anc. bre,1.0,6.2,1.32,2
ARE,P2,Cet. ede,1.0,9.3,5.1,2
ARE,P2,Cet. ede,2.0,13.5,20.75,2
ARE,P2,Euc. gul,1,7.5,4.72,2
ARE,P2,Euc. gul,2,9.9,10.78,2
ARE,P2,Euc. gul,3,9.5,9.37,2
ARE,P2,Euc. gul,4,9.4,9.01,2
ARE,P2,Euc. gul,5,9.0,7.26,2
ARE,P2,Euc. gul,6,8.0,5.58,2
ARE,P2,Euc. gul,7,13.5,30.27,2
ARE,P2,Euc. gul,8,7.7,5.25,2
ARE,P2,Euc. gul,9,10.2,13.56,2
ARE,P2,Euc. gul,10,9.1,8.46,2
ARE,P2,Euc. gul,11,9.2,8.91,2
ARE,P2,Euc. gul,12,9.6,10.71,2
ARE,P2,Euc. gul,13,8.1,5.4,2
ARE,P2,Euc. gul,14,8.0,5.4,2
ARE,P2,Euc. gul,15,9.3,10.82,2
ARE,P2,Euc. gul,16,8.4,6.53,2
ARE,P2,Euc. gul,17,8.6,6.71,2
ARE,P2,Euc. gul,18,9.4,9.6,2
ARE,P2,Euc. gul,19,10.0,10.64,2
ARE,P2,Euc. gul,20,8.8,7.78,2
ARE,P2,Euc. gul,21,8.9,7.91,2
ARE,P2,Euc. gul,22,10.4,13.66,2
ARE,P2,Euc. gul,23,8.5,8.02,2
ARE,P2,Euc. gul,24,9.1,9.6,2
ARE,P2,Euc. gul,25,9.2,8.77,2
ARE,P2,Euc. gul,26,7.4,4.52,2
ARE,P2,Euc. gul,27,8.7,7.2,2
ARE,P2,Euc. gul,28,9.0,8.59,2
ARE,P2,Euc. gul,29,9.1,8.79,2
ARE,P2,Euc. gul,30,9.3,9.74,2
ARE,P2,Euc. gul,31,9.1,9.43,2
ARE,P2,Euc. gul,32,9.3,9.52,2
ARE,P2,Euc. gul,33,6.6,3.15,2
ARE,P2,Euc. gul,34,8.6,6.9,2
ARE,P2,Euc. gul,35,9.0,8.91,2
ARE,P2,Euc. gul,36,8.0,5.48,2
ARE,P2,Euc. gul,37,9.6,10.27,2
ARE,P2,Euc. gul,38,7.8,4.74,2
ARE,P2,Euc. gul,39,7.8,5.4,2
ARE,P2,Euc. gul,40,7.9,5.6,2
ARE,P2,Euc. gul,41,9.9,11.47,2
ARE,P2,Euc. gul,42,7.0,3.42,2
ARE,P2,Ort. rub,1.0,11.3,16.96,2
ARE,P2,Cat. spi,1.0,14.5,30.23,2
ARE,P2,Ste. ras,1.0,10.3,10.98,2
ARE,P2,Ste. ras,2.0,9.1,6.8,2
ARE,P2,Ste. ras,3.0,8.9,7.36,2
ARE,P2,Ste. ras,4.0,9.4,8.84,2
ARE,P2,Ste. ras,5.0,8.5,6.07,2
ARE,P2,Ste. ras,6.0,8.9,7.86,2
ARE,P2,Ste. ras,7.0,10.2,10.55,2
ARE,P2,Ste. ras,8.0,8.5,6.32,2
ARE,P2,Ste. ras,9.0,9.9,9.42,2
ARE,P2,Ani. vir,1.0,6.0,3.19,2
ARE,P2,Hae. cor,1.0,9.5,11.9,2
ARE,P2,Hae. cor,2.0,16.3,63.56,2
ARE,P2,Hae. cor,3.0,11.0,18.75,2
ARE,P2,Hae. cor,4.0,8.5,8.63,2
ARE,P2,Hae. cor,5.0,8.0,7.92,2
ARE,P2,Hae. cor,6.0,6.6,4.45,2
ARE,P2,Hae. cor,7.0,7.5,6.91,2
ARE,P2,Hae. cor,8.0,10.5,17.66,2
ARE,P2,Hae. cor,9.0,8.5,8.52,2
ARE,P2,Hae. cor,10.0,8.0,6.9,2
ARE,P2,Hae. cor,11.0,10.2,13.37,2
ARE,P2,Hae. cor,12.0,7.6,6.05,2
ARE,P2,Hae. cor,13.0,8.4,7.75,2
ARE,P2,Hae. cor,14.0,7.4,3.42,2
ARE,P2,Hae. cor,15.0,11.7,20.96,2
ARE,P2,Hae. cor,16.0,15.6,45.13,2
ARE,P2,Pte. ath,1.0,7.2,2.4,2
ARE,P2,Pte. ath,2.0,9.1,3.43,2
ARE,P2,Pte. ath,3.0,8.2,2.47,2
ARE,P2,Pte. ath,4.0,6.7,1.17,2
ARE,P2,Pte. ath,5.0,7.5,1.92,2
ARE,P2,Pte. ath,6.0,7.9,2.16,2
ARE,P2,Pte. ath,7.0,6.6,1.24,2
ARE,P2,Pte. ath,8.0,7.7,1.42,2
ARE,P2,Pte. ath,9.0,7.5,2.05,2
ARE,P2,Pte. ath,10.0,8.0,2.56,2
ARE,P2,Sym. pla,1.0,12.0,9.59,2
ARE,P2,Lar. bre,1.0,10.4,16.37,2
ARE,P2,Ste. bra,1.0,7.2,3.34,2
ARE,P3,Lar. bre,1.0,"13,5","31,76",3
ARE,P3,Lar. bre,2.0,"11,5","15,40",3
ARE,P3,Lar. bre,3.0,"15,9","45,27",3
ARE,P3,Lar. bre,4.0,"12,5","19,99",3
ARE,P3,Lar. bre,5.0,"11,1","13,06",3
ARE,P3,Lar. bre,6.0,"11,9","17,41",3
ARE,P3,Lar. bre,7.0,"11,5","14,79",3
ARE,P3,Lar. bre,8.0,11,"14,28",3
ARE,P3,Lar. bre,9.0,"10,5","12,92",3
ARE,P3,Lar. bre,10.0,11,"12,98",3
ARE,P3,Lar. bre,11.0,"12,4","12,82",3
ARE,P3,Lar. bre,12.0,12,"17,43",3
ARE,P3,Lar. bre,13.0,"10,5","11,70",3
ARE,P3,Lar. bre,14.0,"12,5","22,42",3
ARE,P3,Lar. bre,15.0,14,"29,20",3
ARE,P3,Lar. bre,16.0,"9,9","10,41",3
ARE,P3,Lar. bre,17.0,11,"11,57",3
ARE,P3,Lar. bre,18.0,"10,6","11,23",3
ARE,P3,Lar. bre,19.0,"11,5","15,00",3
ARE,P3,Lar. bre,20.0,9,"6,98",3
ARE,P3,Lar. bre,21.0,"10,3","12,29",3
ARE,P3,Lar. bre,22.0,"8,5","6,54",3
ARE,P3,Lar. bre,23.0,11,"13,15",3
ARE,P3,Lar. bre,24.0,"10,3","10,71",3
ARE,P3,Lar. bre,25.0,10,"10,81",3
ARE,P3,Lar. bre,26.0,8,"5,02",3
ARE,P3,Sph. bar,1.0,24.0,"70,08",3
ARE,P3,Sel. bro,1.0,"5,6","2,89",3
ARE,P3,Sel. bro,2.0,"5,8","3,42",3
ARE,P3,Sel. vôm,1.0,"8,9","8,8",3
ARE,P3,Dia. aur,1.0,16,"86,13",3
ARE,P3,Dia. aur,2.0,"15,1","56,82",3
ARE,P3,Dia. aur,3.0,15,"54,76",3
ARE,P3,Dia. aur,4.0,14,"42,76",3
ARE,P3,Pol. vir,1.0,"11,1","11,62",3
ARE,P3,Euc. gul,1.0,"7,5","5,27",3
ARE,P3,Euc. gul,2.0,"7,6","4,97",3
ARE,P3,Euc. gul,3.0,"7,5","6,02",3
ARE,P3,Euc. gul,4.0,"8,1","6,00",3
ARE,P3,Euc. gul,5.0,"8,1","4,91",3
ARE,P3,Euc. gul,6.0,"7,4","5,10",3
ARE,P3,Euc. gul,7.0,"7,7","5,16",3
ARE,P3,Euc. gul,8.0,"7,2","4,84",3
ARE,P3,Euc. gul,9.0,"7,5","4,20",3
ARE,P3,Euc. gul,10.0,7,"4,00",3
ARE,P3,Euc. gul,11.0,"7,5","4,17",3
ARE,P3,Euc. gul,12.0,"7,6","4,99",3
ARE,P3,Euc. gul,13.0,"7,2","3,94",3
ARE,P3,Euc. gul,14.0,"7,3","4,05",3
ARE,P3,Euc. gul,15.0,"7,5","5,47",3
ARE,P3,Euc. gul,16.0,"7,5","4,86",3
ARE,P3,Euc. gul,17.0,"7,9","4,58",3
ARE,P3,Euc. gul,18.0,8,"5,58",3
ARE,P3,Euc. gul,19.0,"8,3","6,80",3
ARE,P3,Euc. gul,20.0,"7,5","5,46",3
ARE,P3,Euc. gul,21.0,7,"3,79",3
ARE,P3,Euc. gul,22.0,"7,4","4,34",3
ARE,P3,Euc. gul,23.0,"7,2","4,20",3
ARE,P3,Euc. gul,24.0,"7,5","5,22",3
ARE,P3,Euc. gul,25.0,"8,1","5,86",3
ARE,P3,Euc. gul,26.0,"7,8","5,48",3
ARE,P3,Euc. gul,27.0,"7,3","4,30",3
ARE,P3,Euc. gul,28.0,"8,5","6,53",3
ARE,P3,Euc. gul,29.0,"7,5","5,41",3
ARE,P3,Euc. gul,30.0,"7,4","5,23",3
ARE,P3,Euc. gul,31.0,"8,5","6,62",3
ARE,P3,Euc. gul,32.0,"7,6","4,47",3
ARE,P3,Etr. cro,1.0,"14,5","31,98",3
ARE,P3,Hae. cor,1.0,10,"12,87",3
ARE,P3,Hae. cor,2.0,7,"4,38",3
ARE,P3,Hae. cor,3.0,10,"12,24",3
ARE,P3,Hae. cor,4.0,"7,3","4,56",3
ARE,P3,Hae. cor,5.0,8,"6,03",3
ARE,P3,Hae. cor,6.0,"6,5","3,18",3
ARE,P3,Hae. cor,7.0,7,"3,90",3
ARE,P3,Hae. cor,8.0,"7,5","4,39",3
ARE,P3,Hae. cor,9.0,"6,6","3,50",3
ARE,P3,Hae. cor,10.0,"10,1","13,84",3
ARE,P3,Hae. cor,11.0,"10,1","13,78",3
ARE,P3,Hae. cor,12.0,9,"10,67",3
ARE,P3,Hae. cor,13.0,"9,6","10,86",3
ARE,P3,Hae. cor,14.0,9,"8,44",3
ARE,P3,Hae. cor,15.0,"9,5","10,61",3
ARE,P3,Hae. cor,16.0,"9,5","10,33",3
ARE,P3,Hae. cor,17.0,8,"5,60",3
ARE,P3,Hae. cor,18.0,"8,3","6,51",3
ARE,P3,Hae. cor,19.0,"7,5","4,74",3
ARE,P3,Hae. cor,20.0,7,"3,78",3
ARE,P3,Hae. cor,21.0,9,"11,25",3
ARE,P3,Hae. cor,22.0,"6,5","3,00",3
ARE,P3,Hae. cor,23.0,"7,5","4,81",3
ARE,P3,Hae. cor,24.0,7,"4,32",3
ARE,P3,Hae. cor,25.0,"6,1","3,09",3
ARE,P3,Hae. cor,26.0,"9,7","11,41",3
ARE,P3,Men. lit,1.0,"7,6","3,66",3
ARE,P3,Ste. ras,1.0,10.0,"11,72",3
ARE,P3,Ste.sp,1.0,"9,5","7,34",3
ARE,P3,Ste.sp,2.0,"11,5","14,36",3
ARE,P3,Ste.sp,3.0,"10,5","11,37",3
ARE,P3,Ste.sp,4.0,"8,7","6,44",3
ARE,P3,Ste.sp,5.0,"10,5","11,05",3
ARE,P3,Ste.sp,6.0,9,"5,97",3
ARE,P3,Ste. bra,1.0,"9,9","9,79",3
ARE,P3,Cat.spi,1.0,"9,3","6,21",3
ARE,P3,Cat.spi,2.0,"10,3","8,1",3
ARE,P3,Cat.spi,3.0,"10,5","9,84",3
ARE,P3,Cat.spi,4.0,"9,5","6,86",3
ARE,P3,Cat.spi,5.0,"10,3","7,83",3
ARE,P3,Cat.spi,6.0,"9,4","6,67",3
ARE,P3,Cat.spi,7.0,"9,4","8,85",3
ARE,P3,Cat.spi,8.0,"9,4","6,88",3
ARE,P3,Cat.spi,9.0,"10,4","9,82",3
ARE,P3,Cat.spi,10.0,"10,1","7,85",3
ARE,P3,Cat.spi,11.0,11,"10,14",3
ARE,P3,Cat.spi,12.0,"10,7","9,77",3
ARE,P3,Cat.spi,13.0,"10,4","8,51",3
ARE,P3,Cat.spi,14.0,"10,2","7,63",3
ARE,P3,Cat.spi,15.0,10,"7,98",3
ARE,P3,Cat.spi,16.0,"10,4","8,64",3
ARE,P3,Cat.spi,17.0,"10,5","9,51",3
ARE,P3,Cat.spi,18.0,"9,6","7,42",3
ARE,P3,Cat.spi,19.0,"10,3","7,76",3
ARE,P3,Cat.spi,20.0,10,"7,3",3
ARE,P3,Cat.spi,21.0,"9,5","7,07",3
ARE,P3,Cat.spi,22.0,13,"18,33",3
ARE,P3,Cat.spi,23.0,"9,1","6,99",3
ARE,P3,Cat.spi,24.0,"9,9","7,65",3
ARE,P3,Cat.spi,25.0,"10,4","8,94",3
ARE,P3,Cat.spi,26.0,10,"7,93",3
ARE,P3,Cat.spi,27.0,"9,5","7,33",3
ARE,P3,Cat.spi,28.0,"9,5","6,55",3
ARE,P3,Cat.spi,29.0,"9,8","7,08",3
ARE,P3,Cat.spi,30.0,"9,3","6,02",3
ARE,P3,Cat.spi,31.0,"9,8","8,14",3
ARE,P3,Cat.spi,32.0,"14,8","21,49",3
ARE,P3,Cat.spi,33.0,"10,8","8,7",3
ARE,P3,Cat.spi,34.0,10,"7,76",3
ARE,P3,Cat.spi,35.0,17,"40,48",3
ARE,P3,Cat.spi,36.0,"10,1","8,8",3
ARE,P3,Cat.spi,37.0,"9,7","7,69",3
ARE,P3,Cat.spi,38.0,"9,5","6,59",3
ARE,P3,Cat.spi,39.0,"10,2","8,39",3
ARE,P3,Cat.spi,40.0,"15,4","33,81",3
ARE,P3,Cat.spi,41.0,"8,6","7,56",3
ARE,P3,Cat.spi,42.0,10,"7,22",3
ARE,P3,Cat.spi,43.0,10,"7,8",3
ARE,P3,Cat.spi,44.0,"9,5","6,59",3
ARE,P3,Cat.spi,45.0,11,"10,14",3
ARE,P3,Cat.spi,46.0,"9,5","6,94",3
