ARRASTO,LOCAL,ESPECIE,N° DE INDIVIDUOS,CT (cm),PESO (g),PONTO
P1,TERRA,Pelona Haw,1.0,"13,2","21,56",1
P1,TERRA,Pelona Haw,2.0,"13,0","19,66",1
P1,TERRA,Pelona Haw,3.0,"13,3","21,82",1
P1,TERRA,Pelona Haw,4.0,"12,8","19,63",1
P1,TERRA,Pelona Haw,5.0,"12,5","17,97",1
P1,TERRA,Pelona Haw,6.0,"13,0","18,96",1
P1,TERRA,Pelona Haw,7.0,"13,2","20,36",1
P1,TERRA,Pelona Haw,8.0,"13,5","22,11",1
P1,TERRA,Pelona Haw,9.0,"13,0","18,82",1
P1,TERRA,Pelona Haw,10.0,"12,8","18,21",1
P1,TERRA,Pelona Haw,11.0,"13,5","22,43",1
P1,TERRA,Pelona Haw,12.0,"12,4","16,69",1
P1,TERRA,Pelona Haw,13.0,"13,5","21,00",1
P1,TERRA,Pelona Haw,14.0,"13,5","22,55",1
P1,TERRA,Pelona Haw,15.0,"13,1","20,27",1
P1,TERRA,Pelona Haw,16.0,"12,0","15,42",1
P1,TERRA,Pelona Haw,17.0,"11,9","15,75",1
P1,TERRA,Pelona Haw,18.0,"12,7","19,34",1
P1,TERRA,Pelona Haw,19.0,"13,1","24,06",1
P1,TERRA,Pelona Haw,20.0,"13,0","20,52",1
P1,TERRA,Pelona Haw,21.0,"14,4","27,28",1
P1,TERRA,Pelona Haw,22.0,"13,0","24,12",1
P1,TERRA,Pelona Haw,23.0,"12,5","20,03",1
P1,TERRA,Pelona Haw,24.0,"14,0","24,45",1
P1,TERRA,Pelona Haw,25.0,"12,0","18,68",1
P1,TERRA,Pelona Haw,26.0,"11,3","13,89",1
P1,TERRA,Pelona Haw,27.0,"13,0","22,85",1
P1,TERRA,Pelona Haw,28.0,"12,3","18,18",1
P1,TERRA,Pelona Haw,29.0,"12,5","19,70",1
P1,TERRA,Pelona Haw,30.0,"12,3","18,83",1
P1,TERRA,Pelona Haw,31.0,"12,7","22,35",1
P1,TERRA,Pelona Haw,32.0,13,"20,59",1
P1,TERRA,Pelona Haw,33.0,"12,7","21,66",1
P1,TERRA,Pelona Haw,34.0,"12,8","20,34",1
P1,TERRA,Pelona Haw,35.0,"13,7","29,25",1
P1,TERRA,Pelona Haw,36.0,"12,3","19,85",1
P1,TERRA,Pelona Haw,37.0,"11,5","16,96",1
P1,TERRA,Pelona Haw,38.0,"13,2","24,01",1
P1,TERRA,Pelona Haw,39.0,"12,4","19,64",1
P1,TERRA,Pelona Haw,40.0,"12,3","18,45",1
P1,TERRA,Pelona Haw,41.0,"12,7","25,13",1
